YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2025,11,43,2.27,Low
2025,12,43,2.07,Low
2026,1,43,2.07,Low
2026,2,43,2.06,Low
2026,3,43,2.05,Low
2026,4,43,2.06,Low
2026,5,43,2.04,Low
2025,1,44,8.39,High
2025,2,44,7.67,Medium
2025,3,44,6.41,Medium
2025,4,44,5.84,Medium
2025,5,44,5.67,Medium
2025,6,44,5.79,Medium
2025,7,44,6.07,Medium
2025,8,44,7.88,Medium
2025,9,44,8.89,Medium
2025,10,44,10.06,High
2025,11,44,8.16,High
2025,12,44,9.2,Medium
2026,1,44,10.49,High
2026,2,44,8.68,Medium
2026,3,44,8.77,Medium
2026,4,44,8.01,High
2026,5,44,10.23,High
2025,1,45,4.67,Low
2025,2,45,4.54,Medium
2025,3,45,4.17,Medium
2025,4,45,4.01,Medium
2025,5,45,4.14,Medium
2025,6,45,4.18,Medium
2025,7,45,4.33,Medium
2025,8,45,5.56,Medium
2025,9,45,6.64,Medium
2025,10,45,6.74,Medium
2025,11,45,6.37,Medium
2025,12,45,6.4,Medium
2026,1,45,6.57,Medium
2026,2,45,6.56,Medium
2026,3,45,6.49,Medium
2026,4,45,6.68,Medium
2026,5,45,8.54,Medium
2025,1,46,3.2,Medium
2025,2,46,3.08,Low
2025,3,46,3.1,Low
2025,4,46,3.14,Low
2025,5,46,3.34,Low
2025,6,46,3.95,Medium
2025,7,46,4.55,Medium
2025,8,46,5.06,Medium
2025,9,46,5.63,Medium
2025,10,46,5.68,Medium
2025,11,46,5.14,Medium
2025,12,46,4.96,Medium
2026,1,46,4.64,Medium
2026,2,46,5.02,Medium
2026,3,46,6.61,Medium
2026,4,46,6.81,Medium
2026,5,46,8.23,Medium
2025,1,47,0.02,Low
2025,2,47,1.3,Low
2025,3,47,10.0,Low
2025,4,47,10.0,High
2025,5,47,8.66,High
2025,6,47,8.79,Medium
2025,7,47,10.0,High
2025,8,47,8.47,High
2025,9,47,10.0,High
2025,10,47,8.83,High
2025,11,47,9.93,High
2025,12,47,10.0,High
2026,1,47,8.19,Medium
2026,2,47,7.79,Medium
2026,3,47,6.71,Medium
2026,4,47,6.26,Medium
2026,5,47,8.12,Medium
2025,1,48,3.09,Medium
2025,2,48,3.2,Low
2025,3,48,4.23,Medium
2025,4,48,4.68,Medium
2025,5,48,5.08,Medium
2025,6,48,5.66,Medium
2025,7,48,6.16,Medium
2025,8,48,6.42,Medium
2025,9,48,8.42,Medium
2025,10,48,9.75,High
2025,11,48,10.33,High
2025,12,48,8.63,High
2026,1,48,8.53,Medium
2026,2,48,7.23,Medium
2026,3,48,6.71,Medium
2026,4,48,6.55,Medium
2026,5,48,9.82,Medium
2025,1,49,0.0,Low
2025,2,49,0.45,Low
2025,3,49,0.85,Low
2025,4,49,1.74,Low
2025,5,49,2.1,Low
2025,6,49,2.22,Low
2025,7,49,2.74,Low
2025,8,49,2.83,Low
2025,9,49,3.04,Low
2025,10,49,3.7,Low
2025,11,49,3.56,Medium
2025,12,49,3.56,Low
2026,1,49,3.52,Low
2026,2,49,3.52,Low
2026,3,49,3.5,Low
2026,4,49,3.49,Low
2026,5,49,3.73,Low
2025,1,50,0.81,Low
2025,2,50,2.23,Low
2025,3,50,3.87,Low
2025,4,50,4.04,Medium
2025,5,50,4.46,Medium
2025,6,50,4.63,Medium
2025,7,50,5.0,Medium
2025,8,50,5.0,Medium
2025,9,50,4.61,Medium
2025,10,50,4.56,Medium
2025,11,50,4.98,Medium
2025,12,50,5.0,Medium
2026,1,50,5.0,Medium
2026,2,50,4.58,Medium
2026,3,50,4.55,Medium
2026,4,50,4.98,Medium
2026,5,50,5.0,Medium
2025,1,51,1.81,Low
2025,2,51,1.16,Low
2025,3,51,1.17,Low
2025,4,51,1.19,Low
2025,5,51,0.98,Low
2025,6,51,1.33,Low
2025,7,51,1.65,Low
2025,8,51,1.5,Low
2025,9,51,1.5,Low
2025,10,51,1.28,Low
2025,11,51,1.23,Low
2025,12,51,1.19,Low
2026,1,51,1.01,Low
2026,2,51,0.99,Low
2026,3,51,1.29,Low
2026,4,51,1.7,Low
2026,5,51,1.61,Low
2025,1,52,6.27,Medium
2025,2,52,5.1,Medium
2025,3,52,4.92,Medium
2025,4,52,4.96,Medium
2025,5,52,5.87,Medium
2025,6,52,6.88,Medium
2025,7,52,9.58,Medium
2025,8,52,10.97,High
2025,9,52,8.41,Medium
2025,10,52,9.71,Medium
2025,11,52,10.78,High
2025,12,52,8.48,Medium
2026,1,52,8.14,Medium
2026,2,52,6.97,Medium
2026,3,52,6.03,Medium
2026,4,52,5.9,Medium
2026,5,52,6.56,Medium
2025,1,53,5.57,Medium
2025,2,53,5.05,Medium
2025,3,53,4.51,Medium
2025,4,53,4.2,Medium
2025,5,53,4.19,Medium
2025,6,53,4.32,Medium
2025,7,53,4.51,Medium
2025,8,53,5.71,Medium
2025,9,53,6.57,Medium
2025,10,53,6.83,Medium
